fen,position_index,depth,best_move,execution_time,cumulative_time,eval,from_opening_book,completed,partial_search,nodes_searched,success,error,timestamp,total_search_time
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,1,g4e5,3.123283386230469e-05,3.123283386230469e-05,613,False,True,False,0,True,,2025-05-27T15:24:57.592974,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,2,e6f7,0.09149622917175293,0.09152746200561523,708,False,True,False,0,True,,2025-05-27T15:24:57.593036,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,3,e6f7,0.1569809913635254,0.24850845336914062,721,False,True,False,0,True,,2025-05-27T15:24:57.593039,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,4,e6f7,0.35079407691955566,0.5993025302886963,696,False,True,False,0,True,,2025-05-27T15:24:57.593040,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,5,e6f7,1.261631965637207,1.8609344959259033,756,False,True,False,0,True,,2025-05-27T15:24:57.593042,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,6,e6f7,7.639954328536987,9.50088882446289,939,False,True,False,0,True,,2025-05-27T15:24:57.593043,60.007806062698364
3Q4/5pk1/4P1p1/p6p/5PN1/b5PP/6RK/q7 w - - 0 41,0,7,g4e5,37.00876188278198,46.50965070724487,1103,False,True,False,0,True,,2025-05-27T15:24:57.593045,60.007806062698364
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,1,d4d2,3.0994415283203125e-05,3.0994415283203125e-05,-163,False,True,False,0,True,,2025-05-27T15:25:08.929016,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,2,d4d8,0.02314901351928711,0.023180007934570312,-216,False,True,False,0,True,,2025-05-27T15:25:08.929034,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,3,d4d8,0.032716989517211914,0.05589699745178223,-181,False,True,False,0,True,,2025-05-27T15:25:08.929036,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,4,d4d8,0.08995294570922852,0.14584994316101074,-176,False,True,False,0,True,,2025-05-27T15:25:08.929038,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,5,d4d8,0.36847615242004395,0.5143260955810547,-173,False,True,False,0,True,,2025-05-27T15:25:08.929039,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,6,d4d8,0.6667170524597168,1.1810431480407715,-178,False,True,False,0,True,,2025-05-27T15:25:08.929041,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,7,d4d8,0.8324172496795654,2.013460397720337,-173,False,True,False,0,True,,2025-05-27T15:25:08.929042,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,8,d4d8,4.080115079879761,6.093575477600098,-179,False,True,False,0,True,,2025-05-27T15:25:08.929043,11.324619054794312
4r1k1/1PQ2p1p/1P6/6PK/3r4/8/8/8 b - - 2 55,1,9,d4d8,5.23058295249939,11.324158430099487,-186,False,True,False,0,True,,2025-05-27T15:25:08.929045,11.324619054794312
8/1pp4k/p3p2p/2p1p3/4P1n1/P1PP1pr1/1P1R4/5R1K b - - 1 33,2,1,f3f2,4.220008850097656e-05,4.220008850097656e-05,329,False,True,False,0,True,,2025-05-27T15:26:08.959816,60.01248526573181
8/1pp4k/p3p2p/2p1p3/4P1n1/P1PP1pr1/1P1R4/5R1K b - - 1 33,2,2,f3f2,0.04740715026855469,0.047449350357055664,340,False,True,False,0,True,,2025-05-27T15:26:08.960324,60.01248526573181
8/1pp4k/p3p2p/2p1p3/4P1n1/P1PP1pr1/1P1R4/5R1K b - - 1 33,2,3,g3h3,0.1349198818206787,0.18236923217773438,340,False,True,False,0,True,,2025-05-27T15:26:08.960327,60.01248526573181
